Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,CustomerAge,CustomerGender
562933,23297,SET 40 HEART SHAPE PETIT FOUR CASES,1,8/10/2011 16:51,3.29,,United Kingdom,,Female
566200,21584,RETROSPOT SMALL TUBE MATCHES,2,9/9/2011 14:14,1.65,16910.0,United Kingdom,,Female
538951,22348,TEA BAG PLATE RED RETROSPOT,1,12/15/2010 11:26,0.85,16782.0,United Kingdom,27.0,Female
566264,21929,JUMBO BAG PINK VINTAGE PAISLEY,1,9/11/2011 13:07,2.08,14606.0,United Kingdom,67.0,Female
569468,20974,12 PENCILS SMALL TUBE SKULL,24,10/4/2011 11:56,0.65,16186.0,United Kingdom,23.0,Male
538852,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1,12/14/2010 13:33,2.95,17372.0,United Kingdom,66.0,
540316,84375,SET OF 20 KIDS COOKIE CUTTERS,12,1/6/2011 13:00,2.1,16676.0,United Kingdom,26.0,Female
556905,22212,FOUR HOOK  WHITE LOVEBIRDS,1,6/15/2011 13:05,2.1,16904.0,United Kingdom,23.0,Female
539436,16238,PARTY TIME PENCIL ERASERS,3,12/17/2010 14:49,0.43,,United Kingdom,24.0,Female
542526,22617,BAKING SET SPACEBOY DESIGN,3,1/28/2011 12:43,4.95,14659.0,United Kingdom,44.0,Female
551339,22233,JIGSAW RABBIT AND BIRDHOUSE,1,4/27/2011 17:18,3.29,,United Kingdom,,Female
557220,23309,SET OF 60 I LOVE LONDON CAKE CASES ,24,6/17/2011 12:40,0.55,14776.0,United Kingdom,25.0,Female
571713,21989,PACK OF 20 SKULL PAPER NAPKINS,1,10/18/2011 16:58,1.63,,United Kingdom,55.0,Female
572217,22905,CALENDAR IN SEASON DESIGN,4,10/21/2011 13:03,2.95,15311.0,United Kingdom,61.0,Female
572103,22192,BLUE DINER WALL CLOCK,1,10/20/2011 15:57,8.5,17571.0,United Kingdom,42.0,Male
537895,21843,RED RETROSPOT CAKE STAND,24,12/9/2010 10:30,9.95,14299.0,United Kingdom,56.0,Female
567911,22598,CHRISTMAS MUSICAL ZINC TREE,72,9/22/2011 17:00,0.29,14854.0,United Kingdom,50.0,Female
545226,22279,POCKET BAG BLUE PAISLEY RED SPOT,12,3/1/2011 9:33,1.25,12428.0,Finland,45.0,Female
558358,23300,GARDENERS KNEELING PAD CUP OF TEA ,1,6/28/2011 15:05,1.65,17965.0,United Kingdom,41.0,Male
578344,90200B,BLACK SWEETHEART BRACELET,1,11/24/2011 9:21,4.15,,United Kingdom,37.0,Female
578921,84988,SET OF 72 PINK HEART PAPER DOILIES,1,11/27/2011 11:57,1.45,13596.0,United Kingdom,46.0,Female
570885,21181,PLEASE ONE PERSON METAL SIGN,12,10/13/2011 10:20,2.1,14211.0,United Kingdom,39.0,
563929,22197,POPCORN HOLDER,20,8/21/2011 15:35,0.85,15031.0,United Kingdom,15.0,Female
580115,21238,RED RETROSPOT CUP,1,12/1/2011 16:22,1.63,,United Kingdom,,
580983,21162,TOXIC AREA  DOOR HANGER ,1,12/6/2011 16:26,3.29,,United Kingdom,15.0,Male
570238,21916,SET 12 RETRO WHITE CHALK STICKS,2,10/9/2011 15:01,0.42,16332.0,United Kingdom,40.0,Female
550541,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,1,4/19/2011 11:33,2.46,,United Kingdom,46.0,Female
C564320,22767,TRIPLE PHOTO FRAME CORNICE ,-1,8/24/2011 13:20,9.95,16536.0,United Kingdom,31.0,Female
564825,84978,HANGING HEART JAR T-LIGHT HOLDER,2,8/30/2011 12:26,2.46,,United Kingdom,28.0,Male
554039,23172,REGENCY TEA PLATE PINK,12,5/20/2011 14:27,1.65,15095.0,United Kingdom,33.0,Male
569900,20724,RED RETROSPOT CHARLOTTE BAG,10,10/6/2011 16:17,0.85,17651.0,United Kingdom,37.0,Male
581433,84509B,SET OF 4 FAIRY CAKE PLACEMATS,4,12/8/2011 15:54,3.75,14911.0,EIRE,29.0,Male
547689,22282,12 EGG HOUSE PAINTED WOOD,1,3/24/2011 14:55,12.75,17757.0,United Kingdom,55.0,Male
574895,23209,LUNCH BAG VINTAGE DOILY ,12,11/7/2011 14:44,1.65,16570.0,United Kingdom,43.0,Male
550633,90200B,BLACK SWEETHEART BRACELET,3,4/19/2011 14:57,4.25,17449.0,United Kingdom,51.0,Male
580695,21993,FLORAL FOLK STATIONERY SET,1,12/5/2011 16:03,1.25,13230.0,United Kingdom,52.0,Male
549836,22920,HERB MARKER BASIL,5,4/12/2011 13:32,0.65,16814.0,United Kingdom,60.0,Male
545349,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1,3/2/2011 11:07,3.75,18118.0,United Kingdom,55.0,
571714,22624,IVORY KITCHEN SCALES,1,10/18/2011 17:00,16.63,,United Kingdom,23.0,
573580,21218,RED SPOTTY BISCUIT TIN,1,10/31/2011 14:21,8.29,,United Kingdom,52.0,Female
542922,22384,LUNCH BAG PINK POLKADOT,10,2/2/2011 9:06,1.65,12682.0,France,70.0,Male
574281,22231,JIGSAW TREE WITH BIRDHOUSE,12,11/3/2011 14:47,0.59,14856.0,United Kingdom,54.0,Female
557621,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,8,6/21/2011 14:00,2.95,12444.0,Norway,27.0,Female
